timestamp,fire_start_time,location,severity,latitude,longitude
2020-01-09 03:00:00,2020-01-09 02:20:00,"45.0836,-73.3206",low,45.0836,-73.3206
2020-02-02 03:00:00,2020-02-02 02:46:00,"45.8719,-73.9053",medium,45.8719,-73.9053
2020-02-16 17:00:00,2020-02-16 16:57:00,"44.6907,-73.6182",low,44.6907,-73.6182
2020-02-17 18:00:00,2020-02-17 17:21:00,"44.4328,-73.9367",low,44.4328,-73.9367
2020-03-08 02:00:00,2020-03-08 01:27:00,"45.8508,-73.9233",low,45.8508,-73.9233
2020-04-17 02:00:00,2020-04-17 01:37:00,"45.7922,-73.3243",low,45.7922,-73.3243
2020-04-18 04:00:00,2020-04-18 03:40:00,"45.5982,-72.8358",low,45.5982,-72.8358
2020-04-18 07:00:00,2020-04-18 06:26:00,"45.9615,-72.5068",low,45.9615,-72.5068
2020-04-18 19:00:00,2020-04-18 18:15:00,"45.4327,-72.9613",medium,45.4327,-72.9613
2020-04-29 05:00:00,2020-04-29 04:37:00,"44.6123,-73.33",medium,44.6123,-73.33
2020-05-05 12:00:00,2020-05-05 11:30:00,"44.995,-72.6526",high,44.995,-72.6526
2020-06-06 05:00:00,2020-06-06 04:57:00,"45.3555,-72.1685",medium,45.3555,-72.1685
2020-06-08 01:00:00,2020-06-08 00:39:00,"44.2334,-73.1914",low,44.2334,-73.1914
2020-06-08 18:00:00,2020-06-08 18:00:00,"44.5623,-73.6508",high,44.5623,-73.6508
2020-06-27 00:00:00,2020-06-26 23:33:00,"44.4784,-73.0622",medium,44.4784,-73.0622
2020-08-03 23:00:00,2020-08-03 22:54:00,"45.6418,-73.6015",high,45.6418,-73.6015
2020-08-11 00:00:00,2020-08-10 23:19:00,"45.2274,-73.2683",low,45.2274,-73.2683
2020-08-27 06:00:00,2020-08-27 05:04:00,"44.4963,-73.52",low,44.4963,-73.52
2020-09-02 15:00:00,2020-09-02 14:39:00,"44.134,-72.2847",low,44.134,-72.2847
2020-09-05 14:00:00,2020-09-05 13:55:00,"44.7276,-73.6033",low,44.7276,-73.6033
2020-09-09 19:00:00,2020-09-09 18:48:00,"44.2499,-73.4077",medium,44.2499,-73.4077
2020-09-11 05:00:00,2020-09-11 04:31:00,"44.3324,-72.711",high,44.3324,-72.711
2020-09-21 05:00:00,2020-09-21 04:10:00,"45.957,-73.691",low,45.957,-73.691
2020-09-22 23:00:00,2020-09-22 22:02:00,"45.2932,-72.9721",low,45.2932,-72.9721
2020-09-24 01:00:00,2020-09-24 00:05:00,"44.3275,-72.4717",low,44.3275,-72.4717
2020-09-27 12:00:00,2020-09-27 11:59:00,"45.7496,-72.9375",low,45.7496,-72.9375
2020-09-28 13:00:00,2020-09-28 12:48:00,"44.4446,-72.6476",medium,44.4446,-72.6476
2020-10-18 09:00:00,2020-10-18 08:20:00,"44.8742,-72.0458",medium,44.8742,-72.0458
2020-11-06 12:00:00,2020-11-06 11:47:00,"44.3407,-73.8897",low,44.3407,-73.8897
2020-11-07 14:00:00,2020-11-07 13:48:00,"44.8939,-72.2429",medium,44.8939,-72.2429
2020-11-15 07:00:00,2020-11-15 06:42:00,"45.0742,-73.3748",low,45.0742,-73.3748
2020-11-28 03:00:00,2020-11-28 02:26:00,"45.0029,-73.3211",high,45.0029,-73.3211
2020-12-09 10:00:00,2020-12-09 09:55:00,"45.7201,-72.3038",high,45.7201,-72.3038
2021-01-22 04:00:00,2021-01-22 04:00:00,"45.2008,-73.7842",medium,45.2008,-73.7842
2021-02-04 08:00:00,2021-02-04 07:54:00,"44.3022,-73.854",low,44.3022,-73.854
2021-02-15 01:00:00,2021-02-15 00:47:00,"45.6668,-72.2789",low,45.6668,-72.2789
2021-03-05 03:00:00,2021-03-05 02:04:00,"45.0367,-73.7475",medium,45.0367,-73.7475
2021-03-08 12:00:00,2021-03-08 11:43:00,"45.1333,-73.7196",medium,45.1333,-73.7196
2021-03-10 01:00:00,2021-03-10 00:12:00,"44.2562,-73.5218",low,44.2562,-73.5218
2021-03-17 10:00:00,2021-03-17 09:21:00,"44.8654,-73.1943",high,44.8654,-73.1943
2021-03-23 12:00:00,2021-03-23 11:32:00,"44.1553,-73.4859",medium,44.1553,-73.4859
2021-03-24 03:00:00,2021-03-24 02:04:00,"44.4822,-73.7153",medium,44.4822,-73.7153
2021-03-24 08:00:00,2021-03-24 07:39:00,"45.6367,-73.3397",low,45.6367,-73.3397
2021-03-27 17:00:00,2021-03-27 16:26:00,"45.6651,-72.1803",low,45.6651,-72.1803
2021-03-30 00:00:00,2021-03-29 23:44:00,"44.2115,-72.699",low,44.2115,-72.699
2021-04-22 17:00:00,2021-04-22 16:43:00,"45.3464,-72.4158",high,45.3464,-72.4158
2021-05-28 01:00:00,2021-05-28 00:32:00,"45.1062,-72.3717",medium,45.1062,-72.3717
2021-05-31 11:00:00,2021-05-31 10:04:00,"44.6682,-72.8121",low,44.6682,-72.8121
2021-06-02 00:00:00,2021-06-01 23:19:00,"45.1642,-73.4859",low,45.1642,-73.4859
2021-06-21 15:00:00,2021-06-21 14:29:00,"44.2814,-72.6183",medium,44.2814,-72.6183
2021-06-23 07:00:00,2021-06-23 06:23:00,"44.811,-73.7258",low,44.811,-73.7258
2021-07-07 05:00:00,2021-07-07 04:07:00,"45.1201,-72.7288",low,45.1201,-72.7288
2021-08-11 22:00:00,2021-08-11 21:27:00,"44.9977,-73.2731",low,44.9977,-73.2731
2021-08-16 03:00:00,2021-08-16 02:45:00,"45.3131,-73.9872",high,45.3131,-73.9872
2021-08-30 20:00:00,2021-08-30 19:55:00,"45.3623,-72.8895",high,45.3623,-72.8895
2021-09-14 20:00:00,2021-09-14 19:25:00,"45.986,-73.1831",low,45.986,-73.1831
2021-10-12 08:00:00,2021-10-12 07:20:00,"44.6519,-72.4675",medium,44.6519,-72.4675
2021-10-31 05:00:00,2021-10-31 04:02:00,"45.5654,-72.352",low,45.5654,-72.352
2021-11-08 04:00:00,2021-11-08 03:18:00,"44.946,-72.0189",low,44.946,-72.0189
2021-12-16 06:00:00,2021-12-16 05:07:00,"45.9699,-72.4047",low,45.9699,-72.4047
2021-12-20 09:00:00,2021-12-20 08:06:00,"44.2099,-72.3251",medium,44.2099,-72.3251
2021-12-29 02:00:00,2021-12-29 01:56:00,"45.9921,-73.9871",low,45.9921,-73.9871
2021-12-30 06:00:00,2021-12-30 05:19:00,"45.7701,-73.2065",low,45.7701,-73.2065
2022-01-02 16:00:00,2022-01-02 15:20:00,"44.6026,-73.56",low,44.6026,-73.56
2022-01-04 15:00:00,2022-01-04 14:23:00,"44.5186,-72.3303",low,44.5186,-72.3303
2022-01-09 23:00:00,2022-01-09 22:57:00,"45.5602,-72.0128",high,45.5602,-72.0128
2022-01-20 16:00:00,2022-01-20 15:39:00,"44.0788,-72.1713",low,44.0788,-72.1713
2022-01-24 08:00:00,2022-01-24 07:34:00,"44.6125,-73.9658",low,44.6125,-73.9658
2022-01-24 20:00:00,2022-01-24 19:53:00,"44.7517,-72.4469",low,44.7517,-72.4469
2022-01-25 21:00:00,2022-01-25 20:54:00,"44.8024,-72.1646",low,44.8024,-72.1646
2022-01-26 20:00:00,2022-01-26 19:29:00,"44.1332,-72.4484",high,44.1332,-72.4484
2022-02-04 02:00:00,2022-02-04 01:16:00,"45.961,-73.1178",high,45.961,-73.1178
2022-02-14 11:00:00,2022-02-14 10:09:00,"44.7905,-72.4521",high,44.7905,-72.4521
2022-02-17 15:00:00,2022-02-17 14:37:00,"44.5847,-72.863",low,44.5847,-72.863
2022-02-19 04:00:00,2022-02-19 03:20:00,"44.5086,-72.1546",high,44.5086,-72.1546
2022-02-25 07:00:00,2022-02-25 06:51:00,"44.5982,-73.8434",high,44.5982,-73.8434
2022-02-25 12:00:00,2022-02-25 11:31:00,"44.7639,-72.2291",low,44.7639,-72.2291
2022-03-14 14:00:00,2022-03-14 13:47:00,"44.4687,-73.1483",high,44.4687,-73.1483
2022-04-01 16:00:00,2022-04-01 15:58:00,"45.4028,-73.4862",low,45.4028,-73.4862
2022-04-18 14:00:00,2022-04-18 13:57:00,"45.1021,-72.7258",high,45.1021,-72.7258
2022-05-11 19:00:00,2022-05-11 18:04:00,"45.2718,-73.9387",high,45.2718,-73.9387
2022-05-13 16:00:00,2022-05-13 15:27:00,"44.8421,-72.028",low,44.8421,-72.028
2022-05-29 16:00:00,2022-05-29 15:34:00,"45.9658,-73.9264",high,45.9658,-73.9264
2022-06-02 19:00:00,2022-06-02 18:10:00,"44.7668,-72.0159",low,44.7668,-72.0159
2022-06-24 05:00:00,2022-06-24 04:06:00,"45.7675,-72.7932",medium,45.7675,-72.7932
2022-06-27 19:00:00,2022-06-27 19:00:00,"45.3754,-73.9239",medium,45.3754,-73.9239
2022-06-30 17:00:00,2022-06-30 16:09:00,"44.5234,-72.8323",medium,44.5234,-72.8323
2022-07-31 09:00:00,2022-07-31 08:51:00,"45.612,-72.2768",medium,45.612,-72.2768
2022-07-31 15:00:00,2022-07-31 14:39:00,"44.751,-72.2852",medium,44.751,-72.2852
2022-09-18 15:00:00,2022-09-18 14:13:00,"44.727,-72.4355",medium,44.727,-72.4355
2022-09-23 00:00:00,2022-09-22 23:28:00,"45.2444,-73.8989",medium,45.2444,-73.8989
2022-10-05 21:00:00,2022-10-05 20:47:00,"44.8446,-73.4243",low,44.8446,-73.4243
2022-10-06 22:00:00,2022-10-06 21:32:00,"45.173,-72.5401",medium,45.173,-72.5401
2022-10-09 14:00:00,2022-10-09 13:03:00,"45.5381,-72.9944",low,45.5381,-72.9944
2022-10-16 12:00:00,2022-10-16 11:59:00,"44.1571,-73.2396",low,44.1571,-73.2396
2022-10-18 06:00:00,2022-10-18 05:54:00,"44.9588,-73.0528",medium,44.9588,-73.0528
2022-10-25 18:00:00,2022-10-25 17:28:00,"44.8156,-72.9621",high,44.8156,-72.9621
2022-11-01 08:00:00,2022-11-01 07:15:00,"45.1311,-73.6507",medium,45.1311,-73.6507
2022-11-03 18:00:00,2022-11-03 17:15:00,"44.9899,-73.2724",medium,44.9899,-73.2724
2022-11-09 08:00:00,2022-11-09 07:51:00,"45.5638,-73.5398",low,45.5638,-73.5398
2022-11-13 23:00:00,2022-11-13 22:04:00,"44.4976,-73.64",medium,44.4976,-73.64
2022-11-16 04:00:00,2022-11-16 03:29:00,"45.936,-73.6168",high,45.936,-73.6168
2022-11-23 22:00:00,2022-11-23 21:51:00,"44.894,-72.3915",low,44.894,-72.3915
2022-12-04 12:00:00,2022-12-04 11:22:00,"45.0825,-72.1717",low,45.0825,-72.1717
2022-12-08 22:00:00,2022-12-08 21:12:00,"44.7911,-72.9854",medium,44.7911,-72.9854
2022-12-15 05:00:00,2022-12-15 04:26:00,"45.9252,-73.6013",medium,45.9252,-73.6013
2022-12-29 02:00:00,2022-12-29 01:34:00,"45.0445,-73.1109",high,45.0445,-73.1109
2023-01-11 15:00:00,2023-01-11 14:12:00,"45.6439,-73.7633",high,45.6439,-73.7633
2023-01-12 02:00:00,2023-01-12 01:25:00,"45.4114,-72.2857",medium,45.4114,-72.2857
2023-01-15 07:00:00,2023-01-15 06:33:00,"45.3003,-73.2908",high,45.3003,-73.2908
2023-01-16 09:00:00,2023-01-16 09:00:00,"45.0935,-72.2813",low,45.0935,-72.2813
2023-01-25 06:00:00,2023-01-25 05:58:00,"44.9675,-73.5387",low,44.9675,-73.5387
2023-02-15 07:00:00,2023-02-15 06:55:00,"45.9162,-73.9713",low,45.9162,-73.9713
2023-02-27 04:00:00,2023-02-27 03:23:00,"44.6347,-72.5933",high,44.6347,-72.5933
2023-03-15 08:00:00,2023-03-15 07:29:00,"44.7218,-72.0255",low,44.7218,-72.0255
2023-05-19 08:00:00,2023-05-19 07:28:00,"45.1101,-72.8359",high,45.1101,-72.8359
2023-06-05 08:00:00,2023-06-05 07:51:00,"44.3613,-72.6545",high,44.3613,-72.6545
2023-06-12 16:00:00,2023-06-12 15:07:00,"44.9293,-73.5603",low,44.9293,-73.5603
2023-06-12 21:00:00,2023-06-12 20:26:00,"45.1572,-72.1841",low,45.1572,-72.1841
2023-06-21 06:00:00,2023-06-21 05:52:00,"45.4911,-73.9392",high,45.4911,-73.9392
2023-07-23 02:00:00,2023-07-23 01:26:00,"45.588,-72.2317",medium,45.588,-72.2317
2023-08-04 14:00:00,2023-08-04 13:13:00,"45.7483,-73.6526",low,45.7483,-73.6526
2023-08-16 03:00:00,2023-08-16 02:26:00,"45.8479,-72.3361",low,45.8479,-72.3361
2023-08-31 14:00:00,2023-08-31 13:45:00,"44.8839,-73.8162",low,44.8839,-73.8162
2023-09-10 04:00:00,2023-09-10 03:42:00,"44.43,-73.7339",low,44.43,-73.7339
2023-09-17 04:00:00,2023-09-17 03:40:00,"45.5312,-73.9844",low,45.5312,-73.9844
2023-11-05 19:00:00,2023-11-05 18:29:00,"44.3193,-73.1461",medium,44.3193,-73.1461
2023-11-25 23:00:00,2023-11-25 22:22:00,"45.8198,-73.11",medium,45.8198,-73.11
2023-11-27 21:00:00,2023-11-27 20:31:00,"45.0333,-72.3267",low,45.0333,-72.3267
2023-12-01 01:00:00,2023-12-01 00:21:00,"44.7527,-73.0763",medium,44.7527,-73.0763
2023-12-02 08:00:00,2023-12-02 07:44:00,"44.4221,-73.6277",medium,44.4221,-73.6277
2023-12-14 05:00:00,2023-12-14 04:53:00,"44.2903,-73.5268",low,44.2903,-73.5268
2023-12-30 12:00:00,2023-12-30 11:17:00,"44.8993,-73.7772",high,44.8993,-73.7772
